Team ID , Team  , Region , Country , Track , Section , Size , Status , Year,Wiki,Medal,Award,Name,Parts
385,Aberdeen_Scotland,Europe,United Kingdom,New Application,Collegiate,17,Accepted,2010,http://2010.igem.org/Team:Aberdeen_Scotland,silver medal,,The AyeSwitch: a translationally regulated genetic toggle switch in yeast,BBa_K385000
349,Alberta,North America,Canada,Foundational Advance,Collegiate,27,Accepted,2010,http://2010.igem.org/Team:Alberta,gold medal,,GENOMIKON: An Educational Tool Kit for Rapid Genetic Construction,BBa_K349101;BBa_K349102;BBa_K349103;BBa_K349104;BBa_K349105;BBa_K349106;BBa_K349107;BBa_K349108;BBa_K349109;BBa_K349110;BBa_K349111;BBa_K349112;BBa_K349113;BBa_K349114;BBa_K349302;BBa_K349303;BBa_K349305
420,ArtScienceBangalore,Asia,India,New Application,Collegiate,14,Accepted,2010,http://2010.igem.org/Team:ArtScienceBangalore,,,Synthetic and Post-Natural Ecologies,
375,Baltimore_US,North America,United States,Manufacturing,Collegiate,15,Accepted,2010,http://2010.igem.org/Team:Baltimore_US,,,A path towards low cost high throughput gene synthesis,
381,BCCS-Bristol,Europe,United Kingdom,Food & Energy,Collegiate,14,Accepted,2010,http://2010.igem.org/Team:BCCS-Bristol,gold medal,2nd Runner Up;Best Food or Energy Project;Finalist,agrEcoli: Smarter farming through bacterial soil fertility sensors,
426,Berkeley,North America,United States,New Application,Collegiate,11,Accepted,2010,http://2010.igem.org/Team:Berkeley,gold medal,,Choachoa's Delivery Service,BBa_K426000;BBa_K426001;BBa_K426003;BBa_K426004;BBa_K426005;BBa_K426006;BBa_K426007;BBa_K426008;BBa_K426009;BBa_K426010;BBa_K426011;BBa_K426012;BBa_K426013;BBa_K426016;BBa_K426017;BBa_K426018;BBa_K426021;BBa_K426023
389,Bielefeld-Germany,Europe,Germany,Food & Energy,Collegiate,14,Accepted,2010,http://2010.igem.org/Team:Bielefeld-Germany,gold medal,,MARSS - Modulated Acetosyringone Receptor Sensor System Defining Spiciness since 2010,BBa_K389001;BBa_K389002;BBa_K389003;BBa_K389005;BBa_K389010;BBa_K389012;BBa_K389013;BBa_K389014;BBa_K389017;BBa_K389050;BBa_K389051;BBa_K389052;BBa_K389302;BBa_K389307;BBa_K389318;BBa_K389401;BBa_K389402;BBa_K389403;BBa_K389411;BBa_K389412;BBa_K389413;BBa_K389421;BBa_K389422;BBa_K389423
407,BIOTEC_Dresden,Europe,Germany,Health & Medicine,Collegiate,15,Accepted,2010,http://2010.igem.org/Team:BIOTEC_Dresden,gold medal,,SensorBricks,BBa_K407010;BBa_K407007;BBa_K407008;BBa_K407009;BBa_K407011;BBa_K407012;BBa_K407013;BBa_K407014;BBa_K407015
391,British_Columbia,North America,Canada,Foundational Advance,Collegiate,12,Accepted,2010,http://2010.igem.org/Team:British_Columbia,bronze medal,,A Multi-pronged Approach to Eliminating Staphylococcus aureus Biofilms Using Recombinant Bacteriophage and Biofilm-Degrading Enzymes,BBa_K391002;BBa_K391003;BBa_K391004;BBa_K391005
324,Brown,North America,United States,Manufacturing,Collegiate,10,Accepted,2010,http://2010.igem.org/Team:Brown,bronze medal,,Light Pattern Control of Cell Circuits,BBa_K324003;BBa_K324004;BBa_K324050;BBa_K324051;BBa_K324052;BBa_K324053
